# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
0.1346372; 16.1712292; 0.3085372; 0.5186530; -0.9999253; 0.0122225; -0.0004302; 7.3887814; 3.1331908; -0.0032945; 8.5000000; 0.0000000
0.1320832; 15.9715396; 0.3535692; 0.5181467; -0.9999109; 0.0133473; -0.0012390; 7.5884899; 3.1325102; -0.0035224; 8.5000000; 0.0000000
0.1293093; 15.7718529; 0.3802044; 0.5178163; -0.9998960; 0.0144252; -0.0021273; 7.7881996; 3.1317853; -0.0037384; 8.5000000; 0.0000000
0.1263246; 15.5721693; 0.3885418; 0.5150161; -0.9998805; 0.0154586; -0.0030773; 7.9879105; 3.1310186; -0.0039400; 8.5000000; 0.0000000
0.1231377; 15.3724888; 0.3941777; 0.5120042; -0.9998647; 0.0164509; -0.0040726; 8.1876224; 3.1302134; -0.0041241; 8.5000000; 0.0000000
0.1197564; 15.1728114; 0.3995310; 0.5092307; -0.9998485; 0.0174056; -0.0050979; 8.3873354; 3.1293734; -0.0042898; 8.5000000; 0.0000000
0.1161879; 14.9731374; 0.4046006; 0.5067396; -0.9998321; 0.0183263; -0.0061395; 8.5870492; 3.1285019; -0.0044380; 8.5000000; 0.0000000
0.1124387; 14.7734666; 0.4122330; 0.5032767; -0.9998153; 0.0192164; -0.0071849; 8.7867638; 3.1276025; -0.0045697; 8.5000000; 0.0000000
0.1085145; 14.5737993; 0.4357022; 0.4973300; -0.9997984; 0.0200791; -0.0082232; 8.9864791; 3.1266784; -0.0046859; 8.5000000; 0.0000000
0.1044205; 14.3741353; 0.4776859; 0.4971306; -0.9997812; 0.0209174; -0.0092444; 9.1861950; 3.1257326; -0.0047873; 8.5000000; 0.0000000
0.1001613; 14.1744748; 0.4949502; 0.4998250; -0.9997638; 0.0217341; -0.0102401; 9.3859114; 3.1247679; -0.0048749; 8.5000000; 0.0000000
0.0957409; 13.9748178; 0.4832776; 0.5021271; -0.9997461; 0.0225321; -0.0112027; 9.5856282; 3.1237870; -0.0049495; 8.5000000; 0.0000000
0.0911628; 13.7751643; 0.4695444; 0.4991356; -0.9997282; 0.0233136; -0.0121256; 9.7853454; 3.1227924; -0.0050121; 8.5000000; 0.0000000
0.0864301; 13.5755145; 0.4559053; 0.4954938; -0.9997100; 0.0240812; -0.0130034; 9.9850629; 3.1217864; -0.0050634; 8.5000000; 0.0000000
0.0815453; 13.3758683; 0.4418649; 0.4922528; -0.9996915; 0.0248369; -0.0138314; 10.1847807; 3.1207712; -0.0051043; 8.5000000; 0.0000000
0.0765106; 13.1762258; 0.4290190; 0.4887544; -0.9996727; 0.0255828; -0.0146059; 10.3844988; 3.1197488; -0.0051356; 8.5000000; 0.0000000
0.0713277; 12.9765871; 0.4263894; 0.4821046; -0.9996536; 0.0263206; -0.0153237; 10.5842171; 3.1187210; -0.0051582; 8.5000000; 0.0000000
0.0659982; 12.7769523; 0.4277890; 0.4803068; -0.9996340; 0.0270521; -0.0159825; 10.7839356; 3.1176895; -0.0051727; 8.5000000; 0.0000000
0.0605231; 12.5773215; 0.4292972; 0.4799381; -0.9996141; 0.0277787; -0.0165808; 10.9836542; 3.1166558; -0.0051801; 8.5000000; 0.0000000
0.0549033; 12.3776946; 0.4304343; 0.4799524; -0.9995937; 0.0285019; -0.0171172; 11.1833731; 3.1156213; -0.0051811; 8.5000000; 0.0000000
0.0491393; 12.1780719; 0.4312113; 0.4803266; -0.9995729; 0.0292228; -0.0175913; 11.3830921; 3.1145872; -0.0051764; 8.5000000; 0.0000000
0.0432315; 11.9784533; 0.4316447; 0.4810444; -0.9995516; 0.0299425; -0.0180029; 11.5828113; 3.1135545; -0.0051669; 8.5000000; 0.0000000
0.0371799; 11.7788391; 0.4317246; 0.4818543; -0.9995298; 0.0306618; -0.0183521; 11.7825306; 3.1125240; -0.0051534; 8.5000000; 0.0000000
0.0309847; 11.5792293; 0.4315699; 0.4772864; -0.9995075; 0.0313816; -0.0186396; 11.9822501; 3.1114967; -0.0051365; 8.5000000; 0.0000000
0.0246457; 11.3796240; 0.4627788; 0.4791483; -0.9994846; 0.0321023; -0.0188661; 12.1819697; 3.1104729; -0.0051170; 8.5000000; 0.0000000
0.0181626; 11.1800233; 0.5006261; 0.4828780; -0.9994611; 0.0328245; -0.0190327; 12.3816894; 3.1094532; -0.0050958; 8.5000000; 0.0000000
0.0115351; 10.9804274; 0.5096406; 0.4885792; -0.9994371; 0.0335484; -0.0191405; 12.5814092; 3.1084379; -0.0050734; 8.5000000; 0.0000000
0.0047628; 10.7808363; 0.4946219; 0.4945716; -0.9994125; 0.0342741; -0.0191908; 12.7811291; 3.1074270; -0.0050508; 8.5000000; 0.0000000
-0.0021546; 10.5812502; 0.4741790; 0.4912440; -0.9993873; 0.0350017; -0.0191848; 12.9808490; 3.1064207; -0.0050287; 8.5000000; 0.0000000
-0.0092174; 10.3816692; 0.4532357; 0.4856029; -0.9993614; 0.0357309; -0.0191238; 13.1805689; 3.1054186; -0.0050077; 8.5000000; 0.0000000
-0.0164260; 10.1820934; 0.4359729; 0.4771140; -0.9993351; 0.0364616; -0.0190090; 13.3802888; 3.1044206; -0.0049877; 8.5000000; 0.0000000
-0.0237807; 9.9825229; 0.4263091; 0.4803338; -0.9993081; 0.0371944; -0.0188414; 13.5800087; 3.1034273; -0.0049605; 8.5000000; 0.0000000
-0.0312821; 9.7829579; 0.4192757; 0.4942726; -0.9992804; 0.0379301; -0.0186228; 13.7797286; 3.1024396; -0.0049317; 8.5000000; 0.0000000
-0.0389306; 9.5833985; 0.4161816; 0.5075848; -0.9992521; 0.0386685; -0.0183547; 13.9794484; 3.1014573; -0.0049069; 8.5000000; 0.0000000
-0.0467269; 9.3838448; 0.4143558; 0.5199771; -0.9992232; 0.0394088; -0.0180387; 14.1791681; 3.1004794; -0.0048872; 8.5000000; 0.0000000
-0.0546710; 9.1842969; 0.4126412; 0.5322236; -0.9991937; 0.0401497; -0.0176758; 14.3788876; 3.0995049; -0.0048736; 8.5000000; 0.0000000
-0.0627631; 8.9847550; 0.4179934; 0.5313591; -0.9991637; 0.0408901; -0.0172664; 14.5786069; 3.0985324; -0.0048661; 8.5000000; 0.0000000
-0.0710029; 8.7852191; 0.4240306; 0.4981038; -0.9991331; 0.0416289; -0.0168108; 14.7783260; 3.0975610; -0.0048635; 8.5000000; 0.0000000
-0.0793903; 8.5856894; 0.4341235; 0.4871783; -0.9991020; 0.0423697; -0.0163093; 14.9780448; 3.0965942; -0.0048190; 8.5000000; 0.0000000
-0.0879264; 8.3861660; 0.4468726; 0.4918450; -0.9990699; 0.0431192; -0.0157645; 15.1777635; 3.0956386; -0.0047516; 8.5000000; 0.0000000
-0.0966133; 8.1866490; 0.4601424; 0.4988117; -0.9990369; 0.0438787; -0.0151811; 15.3774821; 3.0946957; -0.0046922; 8.5000000; 0.0000000
-0.1054526; 7.9871388; 0.4733306; 0.5058865; -0.9990029; 0.0446462; -0.0145631; 15.5772004; 3.0937635; -0.0046442; 8.5000000; 0.0000000
-0.1144459; 7.7876355; 0.4802700; 0.5144609; -0.9989680; 0.0454195; -0.0139138; 15.7769185; 3.0928397; -0.0046081; 8.5000000; 0.0000000
-0.1235940; 7.5881392; 0.4684879; 0.5235533; -0.9989324; 0.0461962; -0.0132357; 15.9766361; 3.0919219; -0.0045844; 8.5000000; 0.0000000
-0.1328973; 7.3886501; 0.4469196; 0.5250900; -0.9988961; 0.0469739; -0.0125300; 16.1763533; 3.0910079; -0.0045707; 8.5000000; 0.0000000
-0.1423559; 7.1891682; 0.4236765; 0.5223413; -0.9988593; 0.0477511; -0.0117975; 16.3760701; 3.0900959; -0.0045630; 8.5000000; 0.0000000
-0.1519695; 6.9896938; 0.4032295; 0.5162761; -0.9988219; 0.0485270; -0.0110382; 16.5757863; 3.0891853; -0.0045575; 8.5000000; 0.0000000
-0.1617380; 6.7902270; 0.4052384; 0.5180827; -0.9987839; 0.0493016; -0.0102522; 16.7755021; 3.0882759; -0.0045504; 8.5000000; 0.0000000
-0.1716611; 6.5907677; 0.4200283; 0.5254856; -0.9987454; 0.0500755; -0.0094395; 16.9752173; 3.0873685; -0.0045378; 8.5000000; 0.0000000
-0.1817388; 6.3913162; 0.4364997; 0.5339177; -0.9987063; 0.0508502; -0.0086007; 17.1749320; 3.0864646; -0.0045157; 8.5000000; 0.0000000
-0.1919715; 6.1918726; 0.4484137; 0.5428034; -0.9986664; 0.0516282; -0.0077371; 17.3746461; 3.0855664; -0.0044800; 8.5000000; 0.0000000
-0.2023602; 5.9924371; 0.4495225; 0.5524924; -0.9986255; 0.0524123; -0.0068511; 17.5743597; 3.0846771; -0.0044268; 8.5000000; 0.0000000
-0.2129063; 5.7930098; 0.4252500; 0.5566304; -0.9985835; 0.0532067; -0.0059464; 17.7740728; 3.0838006; -0.0043518; 8.5000000; 0.0000000
-0.2236125; 5.5935911; 0.3917268; 0.5520133; -0.9985401; 0.0540161; -0.0050287; 17.9737853; 3.0829416; -0.0042511; 8.5000000; 0.0000000
-0.2344823; 5.3941812; 0.3684834; 0.5478114; -0.9984948; 0.0548459; -0.0041055; 18.1734971; 3.0821057; -0.0041206; 8.5000000; 0.0000000
-0.2455204; 5.1947806; 0.3543932; 0.5529496; -0.9984474; 0.0557025; -0.0031867; 18.3732083; 3.0812992; -0.0039566; 8.5000000; 0.0000000
-0.2567328; 4.9953897; 0.3431437; 0.5646258; -0.9983973; 0.0565930; -0.0022850; 18.5729187; 3.0805292; -0.0037554; 8.5000000; 0.0000000
