
# 2025-04-30 02:42:28
# d41d8cd98f00b204e9800998ecf8427e
# s_m;  x_m;  y_m;  psi_rad;  kappa_radpm;  vx_mps;  ax_mps2;  w_tr_right_m;  w_tr_left_m
34.146269; 8.684826; 2.555351; -0.040090; 0.000486; 5.646396; 5.228878; 0.302286; 0.595020
34.345975; 8.692664; 2.754903; -0.039938; 0.001034; 5.828386; 5.224219; 0.302893; 0.595250
34.545681; 8.700582; 2.954452; -0.039707; 0.001268; 6.004708; 5.219565; 0.303647; 0.596297
34.745387; 8.708590; 3.153997; -0.039443; 0.001372; 6.175847; 5.214914; 0.305889; 0.602500
34.945093; 8.716692; 3.353539; -0.039183; 0.001232; 6.342224; 5.210268; 0.309623; 0.612582
35.144799; 8.724882; 3.553077; -0.038966; 0.000935; 6.504204; 5.205626; 0.313840; 0.622250
35.344505; 8.733147; 3.752612; -0.038816; 0.000574; 6.662108; 5.200988; 0.318461; 0.631578
35.544211; 8.741472; 3.952144; -0.038734; 0.000241; 6.816219; 5.196354; 0.323404; 0.640597
35.743916; 8.749846; 4.151674; -0.038713; -0.000032; 6.966788; 5.191725; 0.328810; 0.648154
35.943622; 8.758255; 4.351203; -0.038742; -0.000255; 7.114042; 5.187099; 0.334138; 0.648581
36.143328; 8.766690; 4.550731; -0.038810; -0.000427; 7.258182; 5.182478; 0.333258; 0.635154
36.343034; 8.775145; 4.750258; -0.038908; -0.000551; 7.399390; 5.177861; 0.324877; 0.612867
36.542740; 8.783613; 4.949784; -0.039026; -0.000631; 7.537831; 5.173248; 0.317555; 0.591379
